	StromalScore	ImmuneScore	ESTIMATEScore
TCGA-55-7994-01A	-148.381161570305	2204.66352641871	2056.28236484841
TCGA-69-A59K-01A	-93.5302531913751	1377.86001041087	1284.32975721949
TCGA-49-AAR4-01A	236.267409664269	2384.11299317286	2620.38040283713
TCGA-91-8499-01A	-157.715633706833	1168.17270396549	1010.45707025866
TCGA-91-8497-01A	718.877004942245	2141.17253632031	2860.04954126256
TCGA-44-6778-01A	912.844002065654	2899.90403220748	3812.74803427313
TCGA-67-3772-01A	1091.14098028457	1730.24218498511	2821.38316526968
TCGA-55-8090-01A	243.478500553745	1317.52704359577	1561.00554414951
TCGA-78-7537-01A	240.679755071687	840.421975043396	1081.10173011508
TCGA-91-8496-01A	357.719005570889	2176.03486701625	2533.75387258714
TCGA-55-7281-01A	903.598741544705	2092.61461719714	2996.21335874184
TCGA-05-4424-01A	786.091082784597	1676.06631958129	2462.15740236589
TCGA-75-7031-01A	-295.546403552656	1493.9864148524	1198.44001129974
TCGA-05-4397-01A	-382.829348295768	1013.72453895317	630.895190657399
TCGA-55-7914-01A	119.687358179527	1349.8158190156	1469.50317719512
TCGA-50-5942-01A	264.276814323083	1073.02571051097	1337.30252483406
TCGA-05-4395-01A	-293.783355658451	1347.08623771605	1053.3028820576
TCGA-55-8208-01A	1421.16950496481	2872.32985584446	4293.49936080927
TCGA-93-A4JQ-01A	1088.78181614398	2328.11493282989	3416.89674897387
TCGA-50-6597-01A	-97.740354127456	1697.9647708765	1600.22441674904
TCGA-50-6590-01A	600.610897374667	2247.29813559384	2847.9090329685
TCGA-62-A46P-01A	-301.211179841296	608.633972166154	307.422792324857
TCGA-97-8179-01A	154.363188808783	806.625541802415	960.988730611198
TCGA-55-8615-01A	-495.422682812629	317.133447035827	-178.289235776801
TCGA-71-6725-01A	-637.513516981723	615.999158308734	-21.5143586729898
TCGA-73-4666-01A	224.268418291026	2284.71735750957	2508.9857758006
TCGA-49-6761-01A	119.040219913417	1681.0695700545	1800.10978996792
TCGA-62-8399-01A	217.336025879076	769.926213056292	987.262238935368
TCGA-78-8648-01A	2077.45879120166	2870.88769519668	4948.34648639834
TCGA-97-7547-01A	328.795949583083	1179.98049566367	1508.77644524675
TCGA-44-6145-01A	954.411084651797	2365.50644800575	3319.91753265754
TCGA-80-5608-01A	-501.311701152049	961.689135681639	460.37743452959
TCGA-78-7535-01A	88.1880923380056	1672.26865520404	1760.45674754204
TCGA-86-8358-01A	-341.433225338011	489.456535028994	148.023309690983
TCGA-44-3919-01A	720.599033709086	2166.12456141042	2886.72359511951
TCGA-86-7955-01A	-1552.46098281908	-444.612315886207	-1997.07329870529
TCGA-67-6217-01A	332.503339664975	1837.64556923437	2170.14890889934
TCGA-78-8662-01A	-662.706333112498	51.4944638241745	-611.211869288323
TCGA-97-8176-01A	-116.894788656563	1120.12620565872	1003.23141700216
TCGA-78-8640-01A	-563.556719520368	1191.31278273456	627.75606321419
