	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
TCGA-73-4662-01A	0.0513823359875282	0	0.107843724208786	0.0302668868416046	0	0.177783929967939	0.0189369675409445	0.0462297115889458	0.0302165434520307	0.00860122921910253	0	0.0120144934222082	0.0339379485295013	0.0972669450626449	0.0242616823004156	0.134610515027169	0.110738123061899	0.0530205345756397	0.0571796100814195	0	0.00127455429192338	0.00443426484029695
TCGA-78-7149-01A	0	0.0100518384765481	0.320735873528671	0.111025368649614	0	0.0870379014368102	0	0.0376059904989077	0.0318688615301402	0	0	0.0483131613985408	0.000208583586737102	0.0744540319151786	0.0876293375689089	0.0802764493824355	0.0136931519180577	0.0211208190972765	0.0708543200254119	0	0.00194884004537651	0.0031754709413855
TCGA-05-4426-01A	0.0319119149872497	0	0	0.0586013730763966	0	0.191375005660392	0	0.00162853894261046	0.0751123452347659	0	0	0.0337611031591708	0.0421108768342306	0.232760501677277	0.0361898025986258	0.196356340248702	0.0188358554525209	0	0.0433193979938739	0	0	0.0380369441341848
TCGA-44-6775-01A	4.92162873831074e-05	0	0.0363952891488048	0.0163533828488037	0	0.0296990898929317	0.0170843962144665	0.0127446077944148	0.0491359250430783	0	0	0.0189399276560474	0.00150134433389517	0.335074562527334	0.0400573256571693	0.204353799858441	0.126183611354969	0.0192217985115704	0.0702287131889483	0	0.0118285872673846	0.0111484224143578
TCGA-86-6851-01A	0.00918292764103217	0	0.145337609233347	0.143753876868667	0	0.0676125633700706	0.0538180794580093	0.0436493300041957	0.0743312294776057	0	0.0788363968734829	0.0122681907389582	0.00183514945927035	0.100653952958466	0.0877056663431629	0.120904187340248	0.0149737510529537	0	0.0451370891805323	0	0	0
TCGA-O1-A52J-01A	0.00070204333072651	0	0	0.0239760316377078	0	0.134768631363805	0	0.00542527403341062	0.0481420093689851	0	0	0.0353584634103943	0.209370521186369	0.0518787542244921	0.010761434803	0.275997300350556	0.0861353055936939	0.0503563622158366	0.0607304051496696	0	0.00184197416645657	0.00455548916489747
TCGA-78-7540-01A	0	0.0292372358933136	0	0.0245033164775229	0	0.097124170484068	0	0.0144487865983218	0.0424377813628264	0	0	0.0861025964061308	0	0.236331734789481	0.0109571008061291	0.306288428970411	0.0683700778457707	0.0197079545917266	0.0644908157742986	0	0	0
TCGA-86-8056-01A	0.0385135961380343	0	0.0408863669670355	0.0322041850524875	0	0.258291809416864	0	0.0276562706097738	0	0	0	0.0280392986991438	0.0464698780151415	0.10117743422467	0.0579229914692267	0.197968875524065	0.072004646513932	0.013697380245249	0.072627254509919	0	0	0.0125400126144581
TCGA-05-4422-01A	0.0231095809594671	0.0010566965669251	0.140931031772252	0.245891510979443	0	0.113968590998623	0.0152714871557986	0.0564257104257	0.0441447392710354	0	0	0.0322722302440432	0.0431214196484346	0.044635021709719	0.0642215737840992	0.137834896433819	0.0181370382253566	0	0.0181472725336067	0	0	0.000831199291677402
TCGA-55-6978-01A	0.00614499857492159	0	0.0233503788473103	0.272753322442209	0	0.0950097724175061	0.115055311900703	0.0392147519175543	0.00544704775516777	0.00566323119614272	0.00205729163917777	0.00484644639691472	0.0214838385787119	0.0726632802029278	0.109634819169365	0.120201732166728	0.0791857790488545	0	0.0272879977458063	0	0	0
TCGA-55-7816-01A	0.0125747823779344	0	0	0.0332843678942732	0	0.122519227158187	0	0.000454611088689896	0.0105916294611015	0.00224231950703877	0	0.0558066640013669	0.0908592097880558	0	0.167276503911546	0.395211319448482	0.0387629273015566	0	0.0649620441523454	0	0	0.00545439390942206
