"gene","HR","z","pvalue","lower","upper"
"COLEC11",0.883409190043339,-1.50290291094125,0.132864082271809,0.751537489581536,1.03842031551556
"HTR2C",1.15068824406741,1.46617276904339,0.142601225149912,0.953828095046212,1.38817827018483
"CXCL13",0.946431128624685,-1.46385543772987,0.143233451354611,0.879173258670944,1.01883431097971
"GRK1",0.817990116848648,-1.46138957309166,0.143908560537558,0.624782472084921,1.07094526680499
"FGF4",1.28745043736688,1.46043353481168,0.144170961929152,0.917207274389274,1.80714727734781
"TPSD1",0.923754443454015,-1.4564339700255,0.145272690577942,0.830242597852476,1.02779871089277
"EVI2B",0.903269292599603,-1.45422716645443,0.145883335557674,0.787533522286755,1.03601356877391
"SERPINA9",0.742379572802084,-1.45089280827203,0.146809710811116,0.496431002431237,1.11017931477828
"CCR8",0.866722649637015,-1.44277987058155,0.149082491335295,0.713662017329691,1.05261052592459
"CDH18",0.848349856848,-1.43515551823784,0.151242785950029,0.677690261512163,1.06198586653455
"MRGPRG",1.40092335705559,1.43390990938747,0.151597973652127,0.883660439476855,2.22097331131603
"NECAB2",1.11094423854709,1.4315481715105,0.152273171432495,0.961908992455649,1.28307055120694
"FCGR2B",0.899622015259183,-1.43073862504074,0.152505138900969,0.778264332292407,1.03990345793583
"GABRQ",1.19579961911389,1.42150172850258,0.155170951429787,0.934508241865828,1.53014886869047
"A2ML1",1.09762377405559,1.40345105697964,0.160482376977675,0.963737815093692,1.25010965690385
"GIMAP4",0.895101584456423,-1.3953389794911,0.162913642871177,0.766072285468929,1.04586324514528
"HTR3B",1.13494834903994,1.39432461667777,0.16321960053524,0.949943336415782,1.35598377883109
"APOA5",0.753277198479172,-1.38312246737964,0.166627317740411,0.504188268252587,1.12542590432581
"ALOX5AP",0.929149345199377,-1.36102964408102,0.173504321540262,0.83584697509245,1.03286669858313
"SST",0.946923248959618,-1.35825677456881,0.174382221002049,0.875259867922206,1.02445419044385
"CYBB",0.933074721640874,-1.35822541826152,0.174392167441528,0.844315638555333,1.03116464555232
"PNLIPRP3",1.19303028378309,1.35583372563262,0.175152078064904,0.924369823944415,1.53977468882536
"GFRA2",0.810201942673475,-1.35574925117009,0.17517896317587,0.597653496697651,1.09834074683571
"PRAC2",1.16495718622121,1.35135670227881,0.176581196444538,0.933546897461017,1.4537301226317
"F13A1",0.939752839448544,-1.34860524175928,0.177463796131421,0.858605486094081,1.028569481042
"DOK2",0.91536053808338,-1.34760127372642,0.177786660700619,0.804880672557354,1.04100513684603
"MAGEA1",1.05190326882099,1.34678897207811,0.17804820745993,0.977225317479744,1.1322879863673
"SLCO2B1",0.925578614377956,-1.34265431384645,0.179383934505547,0.826769666147398,1.03619642383092
"LILRB5",0.900757414828355,-1.32737987849774,0.184383052355796,0.771939625272749,1.05107173385688
"CCL19",0.949711210195141,-1.32373287835223,0.185591775031923,0.879858575730384,1.02510949787765
"GUCY2F",0.269911471318531,-1.32020591348374,0.186766278154134,0.0386205501860373,1.88635848009418
"ITGAM",0.92532971335011,-1.31776261135462,0.187583127618764,0.824456755880869,1.03854455955519
"ASCL1",0.959092632268949,-1.31417349375241,0.188787826279374,0.901171209193129,1.02073686763272
"AKR1C4",1.08279348452152,1.30866291613241,0.190648558640697,0.96118542840924,1.21978724964926
"RGS18",0.883962270662931,-1.30470848599458,0.19199213079242,0.734455027059321,1.0639035300557
